날짜,지점,강수량(mm),,,,,,,,,,,0
2018.10.23,115,0,,,,,,,,,,,
2018.10.24,115,,,,,,,,,,,,
2018.10.25,115,,,,,,,,,,,,
2018.10.26,115,7.9,,,,,,,,,,,
2018.10.27,115,,,,,,,,,,,,
2018.10.28,115,6.5,,,,,,,,,,,
2018.10.29,115,1.1,,,,,,,,,,,
2018.10.30,115,0,,,,,,,,,,,
2018.10.31,115,12,,,,,,,,,,,
2018.11.1,115,0,,,,,,,,,,,
2018.11.2,115,,,,,,,,,,,,
2018.11.3,115,,,,,,,,,,,,
2018.11.4,115,,,,,,,,,,,,
2018.11.5,115,2.1,,,,,,,,,,,
2018.11.6,115,0.2,,,,,,,,,,,
2018.11.7,115,0.2,,,,,,,,,,,
2018.11.8,115,20.6,,,,,,,,,,,
2018.11.9,115,0.7,,,,,,,,,,,
2018.11.10,115,,,,,,,,,,,,
2018.11.11,115,,,,,,,,,,,,
2018.11.12,115,0,,,,,,,,,,,
2018.11.13,115,0,,,,,,,,,,,
2018.11.14,115,0.6,,,,,,,,,,,
2018.11.15,115,,,,,,,,,,,,
2018.11.16,115,0,,,,,,,,,,,
2018.11.17,115,7.2,,,,,,,,,,,
2018.11.18,115,4.4,,,,,,,,,,,
2018.11.19,115,0,,,,,,,,,,,
2018.11.20,115,1.3,,,,,,,,,,,
2018.11.21,115,0,,,,,,,,,,,
2018.11.22,115,0,,,,,,,,,,,
2018.11.23,115,2.8,,,,,,,,,,,
2018.11.24,115,2.8,,,,,,,,,,,
2018.11.25,115,,,,,,,,,,,,
2018.11.26,115,,,,,,,,,,,,
2018.11.27,115,,,,,,,,,,,,
2018.11.28,115,,,,,,,,,,,,
2018.11.29,115,,,,,,,,,,,,
2018.11.30,115,,,,,,,,,,,,
2018.12.1,115,,,,,,,,,,,,
2018.12.2,115,,,,,,,,,,,,
2018.12.3,115,1,,,,,,,,,,,
2018.12.4,115,13.1,,,,,,,,,,,
2018.12.5,115,29.9,,,,,,,,,,,
2018.12.6,115,60.6,,,,,,,,,,,
2018.12.7,115,4.5,,,,,,,,,,,
2018.12.8,115,0,,,,,,,,,,,
2018.12.9,115,4.4,,,,,,,,,,,
2018.12.10,115,0.7,,,,,,,,,,,
2018.12.11,115,12.9,,,,,,,,,,,
2018.12.12,115,30.5,,,,,,,,,,,
2018.12.13,115,7.9,,,,,,,,,,,
2018.12.14,115,24.1,,,,,,,,,,,
2018.12.15,115,0.4,,,,,,,,,,,
2018.12.16,115,0.1,,,,,,,,,,,
2018.12.17,115,0.8,,,,,,,,,,,
2018.12.18,115,,,,,,,,,,,,
2018.12.19,115,,,,,,,,,,,,
2018.12.20,115,,,,,,,,,,,,
2018.12.21,115,,,,,,,,,,,,
2018.12.22,115,,,,,,,,,,,,
2018.12.23,115,13.2,,,,,,,,,,,
